InvSubGroupID,InvGroupID,InvSubGroupName,Remark,DailyReportOrder,Created
40657,10025,ENGINE REPOWERING,,,
40658,10013,BCM,,,
40659,10013,CIGARETTE LIGHTER,,,
40660,10013,FUSE BOX,,,
40661,1,DRAINAGE LINE SERVICE,,,
40662,3,CLUTCH MOTOR,,,
40663,10006,APRON REPAIR,,,
40664,10013,KEY REPAIR,,,
40665,10031,EZS CODING,,,
40666,10031,IMMOBILIZER CODING,,,
40667,10025,BALL JOINT PRESSING,,,
40668,10013,STARTER SERVICE,,,
40669,10013,STARTER O/F,,,
40670,10010,WIPER LINK REPAIR,,,
40671,10010,WIPER LINK O/F,,,
40672,10016,SANITIZER,,,
40673,10016,LED LIGHT,,,
40674,10016,FM MODULATOR,,,
40675,10016,NAVIGATION UNIT,,,
40676,10006,CHASIS MOUNT,,,
40677,10022,WHEEL DRUM PAINTING,,,
40678,10016,DAMPING SHEET,,,
40679,10028,GEAR KNOB PADDING,,,
40680,10017,SERVO MOTOR,,,
40681,10021,TORQUE ROD,,,
40682,10011,STEERING REPAIR,,,
40683,10007,TYRE CLAMP,,,
40684,10007,RIMBLADE,,,
40685,10003,ABS MODULE O/F,,,
40686,10003,ABS REPAIR,,,
40687,10016,FLAG STAND,,,
40688,10016,SIREN STAND,,,
40689,10003,WHEEL BEARING O/F,,,
